help_intent	help
list_lead_intent	Tell me my leads
list_lead_intent	Tell me my leads for {TIMEFRAME}
list_lead_intent	Get my leads for {TIMEFRAME}
list_lead_intent	List {TIMEFRAME} leads
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {LAST_NAME} with phone number {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add new lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Add a lead for {FIRST_NAME} {LAST_NAME} at {PHONE_NUMBER} with email {EMAIL}
create_lead_intent	Create new lead for {FIRST_NAME} at {PHONE_NUMBER} with email {EMAIL}
